Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2017-2018,newry-mourne-and-down,total-net,count,225
components-of-population-change-local-government-districts,2017-2018,newry-mourne-and-down,other-changes,count,-145
components-of-population-change-local-government-districts,2017-2018,newry-mourne-and-down,migration-and-other-changes,count,80
components-of-population-change-local-government-districts,2017-2018,newry-mourne-and-down,end-population,count,180012
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,starting-population,count,160098
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,births,count,1492
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,deaths,count,1650
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,natural-change,count,-158
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,internal-inflows,count,3038
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,internal-outflows,count,2425
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,internal-net,count,613
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,united-kingdom-inflows,count,1158
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,united-kingdom-outflows,count,1122
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,united-kingdom-net,count,36
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,rest-of-world-inflows,count,523
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,rest-of-world-outflows,count,334
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,rest-of-world-net,count,189
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,total-inflows,count,4719
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,total-outflows,count,3881
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,total-net,count,838
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,other-changes,count,86
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,migration-and-other-changes,count,924
components-of-population-change-local-government-districts,2017-2018,ards-and-north-down,end-population,count,160864
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,starting-population,count,142492
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,births,count,1629
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,deaths,count,1134
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,natural-change,count,495
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,internal-inflows,count,4066
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,internal-outflows,count,3622
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,internal-net,count,444
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,united-kingdom-inflows,count,701
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,united-kingdom-outflows,count,674
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,united-kingdom-net,count,27
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,rest-of-world-inflows,count,745
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,rest-of-world-outflows,count,543
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,rest-of-world-net,count,202
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,total-inflows,count,5512
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,total-outflows,count,4839
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,total-net,count,673
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,other-changes,count,-156
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,migration-and-other-changes,count,517
components-of-population-change-local-government-districts,2018-2019,antrim-and-newtownabbey,end-population,count,143504
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,starting-population,count,214090
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,births,count,2776
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,deaths,count,1536
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,natural-change,count,1240
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,internal-inflows,count,4083
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,internal-outflows,count,4093
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,internal-net,count,-10
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,united-kingdom-inflows,count,1055
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,united-kingdom-outflows,count,973
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,united-kingdom-net,count,82
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,rest-of-world-inflows,count,1829
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,rest-of-world-outflows,count,837
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,rest-of-world-net,count,992
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,total-inflows,count,6967
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,total-outflows,count,5903
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,total-net,count,1064
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,other-changes,count,-189
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,migration-and-other-changes,count,875
components-of-population-change-local-government-districts,2018-2019,armagh-city-banbridge-and-craigavon,end-population,count,216205
components-of-population-change-local-government-districts,2018-2019,belfast,starting-population,count,341877
components-of-population-change-local-government-districts,2018-2019,belfast,births,count,4237
components-of-population-change-local-government-districts,2018-2019,belfast,deaths,count,3132
components-of-population-change-local-government-districts,2018-2019,belfast,natural-change,count,1105
components-of-population-change-local-government-districts,2018-2019,belfast,internal-inflows,count,13938
components-of-population-change-local-government-districts,2018-2019,belfast,internal-outflows,count,14973
components-of-population-change-local-government-districts,2018-2019,belfast,internal-net,count,-1035
components-of-population-change-local-government-districts,2018-2019,belfast,united-kingdom-inflows,count,2841
components-of-population-change-local-government-districts,2018-2019,belfast,united-kingdom-outflows,count,2470
components-of-population-change-local-government-districts,2018-2019,belfast,united-kingdom-net,count,371
components-of-population-change-local-government-districts,2018-2019,belfast,rest-of-world-inflows,count,5660
components-of-population-change-local-government-districts,2018-2019,belfast,rest-of-world-outflows,count,5040
components-of-population-change-local-government-districts,2018-2019,belfast,rest-of-world-net,count,620
components-of-population-change-local-government-districts,2018-2019,belfast,total-inflows,count,22439
components-of-population-change-local-government-districts,2018-2019,belfast,total-outflows,count,22483
components-of-population-change-local-government-districts,2018-2019,belfast,total-net,count,-44
components-of-population-change-local-government-districts,2018-2019,belfast,other-changes,count,604
components-of-population-change-local-government-districts,2018-2019,belfast,migration-and-other-changes,count,560
components-of-population-change-local-government-districts,2018-2019,belfast,end-population,count,343542
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,starting-population,count,144246
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,births,count,1557
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,deaths,count,1211
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,natural-change,count,346
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,internal-inflows,count,3737
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,internal-outflows,count,3546
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,internal-net,count,191
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,united-kingdom-inflows,count,881
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,united-kingdom-outflows,count,772
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,united-kingdom-net,count,109
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,rest-of-world-inflows,count,414
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,rest-of-world-outflows,count,493
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,rest-of-world-net,count,-79
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,total-inflows,count,5032
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,total-outflows,count,4811
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,total-net,count,221
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,other-changes,count,25
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,migration-and-other-changes,count,246
components-of-population-change-local-government-districts,2018-2019,causeway-coast-and-glens,end-population,count,144838
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,starting-population,count,150679
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,births,count,1879
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,deaths,count,1190
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,natural-change,count,689
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,internal-inflows,count,2886
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,internal-outflows,count,3117
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,internal-net,count,-231
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,united-kingdom-inflows,count,909
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,united-kingdom-outflows,count,878
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,united-kingdom-net,count,31
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,rest-of-world-inflows,count,589
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,rest-of-world-outflows,count,566
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,rest-of-world-net,count,23
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,total-inflows,count,4384
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,total-outflows,count,4561
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,total-net,count,-177
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,other-changes,count,93
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,migration-and-other-changes,count,-84
components-of-population-change-local-government-districts,2018-2019,derry-city-and-strabane,end-population,count,151284
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,starting-population,count,116835
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,births,count,1413
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,deaths,count,926
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,natural-change,count,487
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,internal-inflows,count,2182
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,internal-outflows,count,2686
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,internal-net,count,-504
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,united-kingdom-inflows,count,719
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,united-kingdom-outflows,count,582
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,united-kingdom-net,count,137
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,rest-of-world-inflows,count,861
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,rest-of-world-outflows,count,453
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,rest-of-world-net,count,408
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,total-inflows,count,3762
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,total-outflows,count,3721
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,total-net,count,41
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,other-changes,count,34
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,migration-and-other-changes,count,75
components-of-population-change-local-government-districts,2018-2019,fermanagh-and-omagh,end-population,count,117397
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,starting-population,count,144381
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,births,count,1771
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,deaths,count,1118
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,natural-change,count,653
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,internal-inflows,count,5411
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,internal-outflows,count,4408
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,internal-net,count,1003
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,united-kingdom-inflows,count,930
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,united-kingdom-outflows,count,914
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,united-kingdom-net,count,16
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,rest-of-world-inflows,count,528
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,rest-of-world-outflows,count,456
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,rest-of-world-net,count,72
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,total-inflows,count,6869
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,total-outflows,count,5778
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,total-net,count,1091
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,other-changes,count,-123
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,migration-and-other-changes,count,968
components-of-population-change-local-government-districts,2018-2019,lisburn-and-castlereagh,end-population,count,146002
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,starting-population,count,138773
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,births,count,1438
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,deaths,count,1254
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,natural-change,count,184
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,internal-inflows,count,2923
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,internal-outflows,count,3000
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,internal-net,count,-77
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,united-kingdom-inflows,count,711
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,united-kingdom-outflows,count,649
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,united-kingdom-net,count,62
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,rest-of-world-inflows,count,808
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,rest-of-world-outflows,count,510
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,rest-of-world-net,count,298
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,total-inflows,count,4442
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,total-outflows,count,4159
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,total-net,count,283
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,other-changes,count,34
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,migration-and-other-changes,count,317
components-of-population-change-local-government-districts,2018-2019,mid-and-east-antrim,end-population,count,139274
components-of-population-change-local-government-districts,2018-2019,mid-ulster,starting-population,count,147392
components-of-population-change-local-government-districts,2018-2019,mid-ulster,births,count,2033
components-of-population-change-local-government-districts,2018-2019,mid-ulster,deaths,count,1018
components-of-population-change-local-government-districts,2018-2019,mid-ulster,natural-change,count,1015
components-of-population-change-local-government-districts,2018-2019,mid-ulster,internal-inflows,count,3230
components-of-population-change-local-government-districts,2018-2019,mid-ulster,internal-outflows,count,3442
components-of-population-change-local-government-districts,2018-2019,mid-ulster,internal-net,count,-212
components-of-population-change-local-government-districts,2018-2019,mid-ulster,united-kingdom-inflows,count,527
components-of-population-change-local-government-districts,2018-2019,mid-ulster,united-kingdom-outflows,count,509
components-of-population-change-local-government-districts,2018-2019,mid-ulster,united-kingdom-net,count,18
components-of-population-change-local-government-districts,2018-2019,mid-ulster,rest-of-world-inflows,count,1141
components-of-population-change-local-government-districts,2018-2019,mid-ulster,rest-of-world-outflows,count,595
components-of-population-change-local-government-districts,2018-2019,mid-ulster,rest-of-world-net,count,546
components-of-population-change-local-government-districts,2018-2019,mid-ulster,total-inflows,count,4898
components-of-population-change-local-government-districts,2018-2019,mid-ulster,total-outflows,count,4546
components-of-population-change-local-government-districts,2018-2019,mid-ulster,total-net,count,352
components-of-population-change-local-government-districts,2018-2019,mid-ulster,other-changes,count,-231
components-of-population-change-local-government-districts,2018-2019,mid-ulster,migration-and-other-changes,count,121
components-of-population-change-local-government-districts,2018-2019,mid-ulster,end-population,count,148528
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,starting-population,count,180012
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,births,count,2372
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,deaths,count,1350
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,natural-change,count,1022
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,internal-inflows,count,3423
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,internal-outflows,count,3535
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,internal-net,count,-112
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,united-kingdom-inflows,count,958
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,united-kingdom-outflows,count,816
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,united-kingdom-net,count,142
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,rest-of-world-inflows,count,1124
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,rest-of-world-outflows,count,637
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,rest-of-world-net,count,487
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,total-inflows,count,5505
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,total-outflows,count,4988
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,total-net,count,517
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,other-changes,count,-183
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,migration-and-other-changes,count,334
components-of-population-change-local-government-districts,2018-2019,newry-mourne-and-down,end-population,count,181368
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,starting-population,count,160864
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,births,count,1542
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,deaths,count,1480
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,natural-change,count,62
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,internal-inflows,count,2961
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,internal-outflows,count,2418
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,internal-net,count,543
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,united-kingdom-inflows,count,1215
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,united-kingdom-outflows,count,1096
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,united-kingdom-net,count,119
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,rest-of-world-inflows,count,492
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,rest-of-world-outflows,count,348
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,rest-of-world-net,count,144
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,total-inflows,count,4668
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,total-outflows,count,3862
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,total-net,count,806
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,other-changes,count,-7
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,migration-and-other-changes,count,799
components-of-population-change-local-government-districts,2018-2019,ards-and-north-down,end-population,count,161725
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,starting-population,count,143504
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,births,count,1620
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,deaths,count,1285
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,natural-change,count,335
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,internal-inflows,count,3231
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,internal-outflows,count,3260
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,internal-net,count,-29
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,united-kingdom-inflows,count,692
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,united-kingdom-outflows,count,701
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,united-kingdom-net,count,-9
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,rest-of-world-inflows,count,556
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,rest-of-world-outflows,count,630
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,rest-of-world-net,count,-74
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,total-inflows,count,4479
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,total-outflows,count,4591
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,total-net,count,-112
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,other-changes,count,29
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,migration-and-other-changes,count,-83
components-of-population-change-local-government-districts,2019-2020,antrim-and-newtownabbey,end-population,count,143756
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,starting-population,count,216205
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,births,count,2668
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,deaths,count,1622
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,natural-change,count,1046
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,internal-inflows,count,3774
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,internal-outflows,count,3646
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,internal-net,count,128
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,united-kingdom-inflows,count,906
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,united-kingdom-outflows,count,1015
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,united-kingdom-net,count,-109
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,rest-of-world-inflows,count,1439
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,rest-of-world-outflows,count,1135
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,rest-of-world-net,count,304
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,total-inflows,count,6119
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,total-outflows,count,5796
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,total-net,count,323
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,other-changes,count,-342
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,migration-and-other-changes,count,-19
components-of-population-change-local-government-districts,2019-2020,armagh-city-banbridge-and-craigavon,end-population,count,217232
components-of-population-change-local-government-districts,2019-2020,belfast,starting-population,count,343542
components-of-population-change-local-government-districts,2019-2020,belfast,births,count,4053
components-of-population-change-local-government-districts,2019-2020,belfast,deaths,count,3451
components-of-population-change-local-government-districts,2019-2020,belfast,natural-change,count,602
components-of-population-change-local-government-districts,2019-2020,belfast,internal-inflows,count,13210
components-of-population-change-local-government-districts,2019-2020,belfast,internal-outflows,count,13937
components-of-population-change-local-government-districts,2019-2020,belfast,internal-net,count,-727
components-of-population-change-local-government-districts,2019-2020,belfast,united-kingdom-inflows,count,2455
components-of-population-change-local-government-districts,2019-2020,belfast,united-kingdom-outflows,count,3026
components-of-population-change-local-government-districts,2019-2020,belfast,united-kingdom-net,count,-571
components-of-population-change-local-government-districts,2019-2020,belfast,rest-of-world-inflows,count,4584
components-of-population-change-local-government-districts,2019-2020,belfast,rest-of-world-outflows,count,5775
components-of-population-change-local-government-districts,2019-2020,belfast,rest-of-world-net,count,-1191
components-of-population-change-local-government-districts,2019-2020,belfast,total-inflows,count,20249
components-of-population-change-local-government-districts,2019-2020,belfast,total-outflows,count,22738
components-of-population-change-local-government-districts,2019-2020,belfast,total-net,count,-2489
components-of-population-change-local-government-districts,2019-2020,belfast,other-changes,count,905
components-of-population-change-local-government-districts,2019-2020,belfast,migration-and-other-changes,count,-1584
components-of-population-change-local-government-districts,2019-2020,belfast,end-population,count,342560
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,starting-population,count,144838
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,births,count,1506
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,deaths,count,1326
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,natural-change,count,180
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,internal-inflows,count,3179
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,internal-outflows,count,3447
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,internal-net,count,-268
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,united-kingdom-inflows,count,688
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,united-kingdom-outflows,count,810
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,united-kingdom-net,count,-122
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,rest-of-world-inflows,count,385
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,rest-of-world-outflows,count,543
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,rest-of-world-net,count,-158
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,total-inflows,count,4252
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,total-outflows,count,4800
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,total-net,count,-548
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,other-changes,count,473
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,migration-and-other-changes,count,-75
components-of-population-change-local-government-districts,2019-2020,causeway-coast-and-glens,end-population,count,144943
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,starting-population,count,151284
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,births,count,1809
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,deaths,count,1211
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,natural-change,count,598
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,internal-inflows,count,2601
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,internal-outflows,count,2958
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,internal-net,count,-357
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,united-kingdom-inflows,count,739
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,united-kingdom-outflows,count,1002
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,united-kingdom-net,count,-263
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,rest-of-world-inflows,count,472
components-of-population-change-local-government-districts,2019-2020,derry-city-and-strabane,rest-of-world-outflows,count,583
